food,fuel,clothes,alcohol,transport,other,total_expenditures,income,age,kids
55.53599864244461,17.44600087404251,0,1.377999959513545,18.953999280929565,36.68600112199783,50,130,25,yes
56.084999442100525,25.289998948574066,1.365000056102872,12.37500049173832,18.22500005364418,36.660001426935196,90,150,39,yes
44.643001705408096,93.2880026102066,0.27600001310929656,11.799000091850758,47.44900122284889,32.544995695352554,180,230,47,yes
44.38000023365021,12.57999986410141,5.389999970793724,3.970000147819519,6.520000100135803,27.160000801086426,80,100,33,yes
33.309999108314514,8.240000158548355,3.9900001138448715,15.710000693798065,24.02999997138977,14.720000326633453,90,100,31,no
26.264000236988068,3.366999886929989,8.189999908208847,1.4699999801814556,6.684999987483025,24.023999869823456,70,70,24,no
48.79199922084808,17.27099932730198,8.606999889016151,2.9070000164210796,4.313000105321407,108.11000108718872,140,190,46,no
45.329999923706055,21.050000190734863,11.309999972581863,1.6100000590085983,0,20.70000022649765,50,100,25,no
85.25399804115295,27.37800046801567,43.44599932432175,7.6180001348257065,11.257999762892723,85.0460022687912,100,260,30,no
50.68799912929535,6.732000038027763,2.530000004917383,3.717999830842018,20.910999923944473,25.421000868082047,90,110,41,no
34.470000863075256,3.920000046491623,25.470000505447388,0,6.719999760389328,29.420000314712524,100,100,48,yes
44.9099987745285,5.4099999368190765,16.169999539852142,11.330000311136246,3.970000147819519,18.210001289844513,100,100,24,no
44.38999891281128,10.23000031709671,0.17999999690800905,5.700000002980232,11.900000274181366,27.59999930858612,80,100,28,yes
25.08000075817108,25.871999859809875,8.73600035905838,0,33.888001441955566,26.423996686935425,40,120,31,yes
18.94199937582016,3.0870001018047333,14.070000350475311,6.90200001001358,7.258999794721603,19.740000367164612,70,70,32,no
71.96800172328949,13.142999708652496,6.5129998326301575,0.14299999922513962,25.75300008058548,12.479998171329498,70,130,47,yes
46.75500154495239,7.290000021457672,6.4980000257492065,12.185999751091003,7.190999686717987,10.079998970031738,50,90,32,yes
33.54400038719177,5.362000018358231,10.178000181913376,16.547999531030655,26.445999145507812,47.92199969291687,150,140,38,yes
39.84399855136871,5.6700000166893005,21.153999269008636,0,17.289999574422836,56.0420036315918,120,140,45,no
45.13600081205368,8.892000392079353,5.902000144124031,3.2240000925958157,33.21499854326248,33.631001710891724,50,130,28,no
42.43500083684921,4.302000068128109,8.378999680280685,8.91900010406971,5.47200009226799,20.49299955368042,80,90,29,no
32.83999860286713,8.420000225305557,2.459999918937683,5.480000004172325,28.099998831748962,22.700002789497375,70,100,34,no
118.92399847507477,26.598000824451447,13.155999928712845,19.578000158071518,27.612000554800034,54.132001996040344,140,260,43,yes
77.5500014424324,18.699999898672104,36.274999380111694,12.350000441074371,32.97499939799309,72.14999943971634,100,250,33,no
51.43500119447708,16.814999654889107,0.8100000210106373,17.144999653100967,16.110000014305115,47.68500030040741,60,150,47,yes
37.02000081539154,43.700000643730164,3.5999998450279236,1.7400000244379044,29.919999837875366,84.02000069618225,80,200,53,yes
53.02700072526932,17.692999243736267,31.044000536203384,5.330000147223473,2.911999896168709,19.99399945139885,50,130,29,yes
100.48699617385864,37.212999165058136,6.664000079035759,1.5299999341368675,1.1560000153258443,22.950003445148468,70,170,40,yes
49.82399940490723,11.399999856948853,9.456000030040741,2.8440000861883163,15.216000080108643,31.26000165939331,60,120,33,yes
38.04899990558624,8.128999918699265,42.624998688697815,0.31899999594315886,9.746000245213509,11.13200157880783,90,110,57,no
63.50499987602234,12.649000063538551,1.0009999945759773,4.016999956220388,11.84299997985363,36.98500037193298,100,130,43,yes
26.868000626564026,10.073999762535095,0.5100000277161598,7.884000241756439,3.4200000017881393,11.243999004364014,50,60,32,no
40.939998626708984,12.929999828338623,13.099999725818634,0,4.259999841451645,28.770002722740173,60,100,25,yes
74.01000112295151,13.319999724626541,21.42000049352646,5.309999920427799,0,35.93999817967415,90,150,29,yes
40.6140011548996,6.944000199437141,6.412000060081482,16.464000195264816,40.64200162887573,28.923997282981873,150,140,38,yes
53.25999855995178,16.300000250339508,58.85999798774719,8.100000023841858,19.660000503063202,43.82000267505646,120,200,34,yes
80.07300049066544,22.21800059080124,13.90200063586235,22.154999524354935,14.300999566912651,57.350997626781464,160,210,36,yes
57.49799907207489,15.778000056743622,21.419999599456787,7.237999960780144,8.512000143527985,29.554001688957214,90,140,50,no
52.079998254776,7.32000008225441,32.424001693725586,6.000000089406967,8.867999911308289,13.307999968528748,80,120,28,no
